"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST","AIRCRAFT_TYPE","MONTH",
0.00,2.00,99520.00,144.00,0.00,0.00,0.00,193.00,109.00,78.00,"DL","Delta Air Lines Inc.",11042,"CLE",16271,"YYZ","622",1,
0.00,1.00,49760.00,72.00,44.00,0.00,0.00,214.00,90.00,38.00,"DL","Delta Air Lines Inc.",11433,"DTW",16271,"YYZ","622",1,
0.00,1.00,49760.00,72.00,0.00,0.00,0.00,1284.00,290.00,115.00,"DL","Delta Air Lines Inc.",11618,"EWR",16232,"YWG","622",1,
0.00,1.00,49760.00,72.00,40.00,0.00,0.00,348.00,84.00,61.00,"DL","Delta Air Lines Inc.",11618,"EWR",16271,"YYZ","622",1,
0.00,1.00,49760.00,72.00,0.00,0.00,0.00,440.00,83.00,70.00,"DL","Delta Air Lines Inc.",12339,"IND",16271,"YYZ","622",1,
0.00,1.00,49760.00,72.00,58.00,0.00,0.00,366.00,101.00,66.00,"DL","Delta Air Lines Inc.",12478,"JFK",16271,"YYZ","622",1,
0.00,1.00,49760.00,72.00,44.00,0.00,0.00,1081.00,163.00,151.00,"DL","Delta Air Lines Inc.",12892,"LAX",16229,"YVR","622",1,
0.00,1.00,49760.00,72.00,51.00,0.00,0.00,433.00,75.00,58.00,"DL","Delta Air Lines Inc.",13232,"MDW",16271,"YYZ","622",1,
0.00,1.00,49760.00,72.00,54.00,0.00,0.00,420.00,77.00,58.00,"DL","Delta Air Lines Inc.",13342,"MKE",16271,"YYZ","622",1,
0.00,1.00,38879.00,156.00,76.00,0.00,0.00,1086.00,189.00,163.00,"DL","Delta Air Lines Inc.",13487,"MSP",16042,"YEG","694",1,
0.00,2.00,77758.00,317.00,190.00,0.00,0.00,395.00,190.00,121.00,"DL","Delta Air Lines Inc.",13487,"MSP",16232,"YWG","694",1,
0.00,1.00,49760.00,72.00,49.00,0.00,0.00,395.00,88.00,71.00,"DL","Delta Air Lines Inc.",13487,"MSP",16232,"YWG","622",1,
0.00,2.00,99520.00,144.00,51.00,0.00,0.00,678.00,201.00,171.00,"DL","Delta Air Lines Inc.",13487,"MSP",16271,"YYZ","622",1,
0.00,1.00,49760.00,72.00,0.00,0.00,0.00,549.00,93.00,73.00,"DL","Delta Air Lines Inc.",14057,"PDX",16257,"YYC","622",1,
0.00,1.00,49760.00,72.00,48.00,0.00,0.00,347.00,100.00,72.00,"DL","Delta Air Lines Inc.",14100,"PHL",16271,"YYZ","622",1,
