,carrier,distance,travel_time,segment,betweenness,shape
0,VistaJet Limited,3864,0,"('ACY', 'ODE')",0.0023894862604540022,"[[-74.5772018433, 39.4575996399], [10.3309001923, 55.4766998291]]"
1,Omni Air International LLC,6163,726,"('AEX', 'ACC')",0.00012744028253724402,"[[-92.5497970581, 31.3274002075], [-0.166786000133, 5.60518980026]]"
2,Volga-Dnepr Airlines,4711,0,"('AFW', 'SID')",0.00016899704630300174,"[[-97.3188018799, 32.9875984192], [-22.9493999481, 16.741399765]]"
3,Envoy Air,751,155,"('AGU', 'ACT')",0.0013341156069673907,"[[-102.318000793, 21.7056007385], [-97.2304992676, 31.6112995148]]"
4,Envoy Air,931,175,"('AGU', 'AMA')",0.000521933968101148,"[[-102.318000793, 21.7056007385], [-101.706001282, 35.2193984985]]"
5,ExpressJet Airlines Inc.,516,159,"('AGU', 'CRP')",0.00013616138547458355,"[[-102.318000793, 21.7056007385], [-97.5011978149, 27.7703990936]]"
6,American Airlines Inc.,3267,1985,"('AMS', 'BGR')",0.0006398340769048098,"[[4.76388978958, 52.3086013794], [-68.8281021118, 44.8073997498]]"
7,VistaJet Limited,4363,0,"('AMS', 'BNA')",0.0002183064962610564,"[[4.76388978958, 52.3086013794], [-86.6781997681, 36.1245002747]]"
8,American Airlines Inc.,3732,567,"('AMS', 'BUF')",0.00020331165919233884,"[[4.76388978958, 52.3086013794], [-78.73220062, 42.94049835]]"
9,Delta Air Lines Inc.,4028,536,"('AMS', 'CMH')",0.0002391976890208602,"[[4.76388978958, 52.3086013794], [-82.8918991089, 39.9980010986]]"
10,Delta Air Lines Inc.,4142,587,"('AMS', 'CVG')",0.0003214756022755885,"[[4.76388978958, 52.3086013794], [-84.6678009033, 39.0488014221]]"
11,Delta Air Lines Inc.,4251,654,"('AMS', 'GSP')",0.00030100530255110176,"[[4.76388978958, 52.3086013794], [-82.2189025879, 34.8956985474]]"
12,Air Alsie A/S,3645,0,"('AMS', 'TEB')",0.000980853700093734,"[[4.76388978958, 52.3086013794], [-74.060798645, 40.8501014709]]"
13,Federal Express Corporation,5036,11791,"('ANC', 'CAN')",0.00051593148210482,"[[-149.996002197, 61.1744003296], [113.299003601, 23.3924007416]]"
14,Korean Air Lines Co. Ltd.,4020,0,"('ANC', 'CJU')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [126.492996216, 33.5112991333]]"
15,Nippon Cargo Airlines,3011,0,"('ANC', 'CTS')",0.0006470374844856161,"[[-149.996002197, 61.1744003296], [141.692001343, 42.7751998901]]"
16,Volga-Dnepr Airlines,4856,0,"('ANC', 'KHH')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [120.349998474, 22.5771007538]]"
17,Federal Express Corporation,3680,11408,"('ANC', 'KIX')",0.000778557224193804,"[[-149.996002197, 61.1744003296], [135.244003296, 34.4272994995]]"
18,Antonov Company,3852,0,"('ANC', 'KKJ')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [131.035003662, 33.8459014893]]"
19,National Air Cargo Group Inc d/ba National Airlines,3978,498,"('ANC', 'KOJ')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [130.718994141, 31.8034000397]]"
