,long,lat,degree,closeness,betweenness,pagerank
ABE,-75.4408035278,40.6520996094,1,0.27463758220607615,0.0,0.00033344091427406515
ABI,-99.6819000244,32.4113006592,3,0.2940834448763884,7.253569051010165e-05,0.0006784357109414805
ABQ,-106.60900116,35.0401992798,2,0.2689669798517508,0.0,0.0003314324425935922
ACA,-99.7539978027,16.7570991516,13,0.3047148506454444,4.4997252453707065e-05,0.0005053666578823352
ACC,-0.166786000133,5.60518980026,8,0.3005603744436712,2.0302552091288854e-05,0.0005025714368665855
ACT,-97.2304992676,31.6112995148,1,0.23177057584475574,0.0,0.00043431018981339756
ACY,-74.5772018433,39.4575996399,3,0.31303584602079787,0.0,0.00035918117184086877
ADD,38.7993011475,8.97789001465,12,0.31684280489998945,0.0001284330880631224,0.0006686261993940665
ADS,-96.8364028931,32.9686012268,1,0.2585334389102755,0.0,0.0003424887358954422
AEX,-92.5497970581,31.3274002075,41,0.2928812642126116,0.0011643896362512186,0.0021964782967284417
AFW,-97.3188018799,32.9875984192,1,0.289332980345321,0.0,0.00033585663023999376
AGP,-4.49911022186,36.6749000549,1,0.24996451550984777,0.0,0.0003557742987780058
AGS,-81.9645004272,33.3698997498,1,0.31303584602079787,0.0,0.00035918117184086877
AGT,-54.842682,-25.454516,9,0.29080093052464784,0.0,0.0003571868285120438
AGU,-102.318000793,21.7056007385,28,0.308985786557456,0.0010744802819335282,0.001219876287893915
AKL,174.792007446,-37.0080986023,41,0.3099884445992866,0.010182097806789723,0.0013324115383828352
ALB,-73.8016967773,42.748298645,3,0.3147548786733009,3.182941618925108e-05,0.000524283044018139
ALG,3.21540999413,36.6910018921,1,0.29529553532410147,0.0,0.0003386796986096675
AMA,-101.706001282,35.2193984985,3,0.262079850966658,1.1817365340037323e-05,0.0005320802742044509
AMD,72.6346969604,23.0771999359,2,0.2850167250442968,0.0,0.0003296543173321666
AMM,35.9931983948,31.7226009369,14,0.30634347090544145,5.054832558750009e-05,0.000652769784697465
AMS,4.76388978958,52.3086013794,221,0.383390390678315,0.010686308599755542,0.004055858882613619
ANC,-149.996002197,61.1744003296,287,0.33935383899590343,0.011731203866587861,0.004811259570073283
ANU,-61.792702,17.1367,68,0.3505618556966856,0.007396682214291528,0.003093894056627951
APF,-81.7752990723,26.1525993347,8,0.31303584602079787,0.0,0.00035918117184086877
APW,-172.007995605,-13.8299999237,4,0.25327822981179005,0.0,0.0003650697184343898
ARN,17.9186000824,59.6519012451,68,0.3657744952546783,0.0033776907502945904,0.0020903409566646793
ASE,-106.8690033,39.22320175,3,0.28558477033586493,0.0001425586990614384,0.0007247596329346973
ASU,-57.5200004578,-25.2399997711,9,0.29080093052464784,0.0,0.0003571868285120438
ATH,23.9444999695,37.9364013672,6,0.3099884445992866,0.00015054085406381945,0.0006838600825913025
ATL,-84.4281005859,33.6366996765,727,0.4022236028519866,0.05132215293251938,0.016119166670896745
AUA,-70.0151977539,12.5013999939,144,0.35935337558876546,0.006129463450548291,0.003366704844415414
AUH,54.6511001587,24.4330005646,31,0.3299761854139786,0.00031283991806335307,0.0009910168119305765
AUS,-97.6698989868,30.1944999695,58,0.3454904364461006,0.004732040963420525,0.003588549418980325
AVP,-75.7233963013,41.3385009766,1,0.31303584602079787,0.0,0.00035918117184086877
AXA,-63.0550994873,18.2047996521,13,0.2652330560222494,0.0006242642734976689,0.0010037873254904381
AXM,-75.7664,4.45278,8,0.27463758220607615,0.0,0.00034076792767297453
AZA,-111.6549988,33.30780029,38,0.30601635561349755,0.00026100597022769563,0.0013169406631166438
BAH,50.6335983276,26.2707996368,7,0.2606496744265943,0.0,0.0003343038587167963
BAQ,-74.7808,10.8896,12,0.29080093052464784,0.0,0.0003571868285120438
BBU,26.1021003723,44.503200531,4,0.27254809037759437,0.0,0.0003322419066070863
BCN,2.0784599781,41.2971000671,48,0.35755997134378104,0.0016675441359454443,0.0018335611158364752
BCT,-80.1076965332,26.3784999847,1,0.0016863406408094434,0.0,0.0016835016835016834
BDA,-64.6787033081,32.3639984131,59,0.33815258646848434,0.0011839790067703904,0.0016973153621983297
BDL,-72.6831970215,41.9388999939,35,0.3265918142815276,0.0006346563500869256,0.0015604671386939672
BED,-71.28900146,42.47000122,11,0.32547906534019355,0.00036703759468058566,0.0014991835926923024
BEG,20.3090991974,44.8184013367,4,0.29529553532410147,0.0,0.0003386796986096675
BEL,-48.4762992859,-1.37925004959,8,0.30278321926258894,6.028322439686909e-05,0.00052960458783485
BFI,-122.302001953,47.5299987793,29,0.33616928684110314,0.004929719019283836,0.002128103148596584
BFS,-6.21582984924,54.6575012207,4,0.22592378165710716,0.0,0.00037314651362349625
BGI,-59.4925003052,13.0746002197,58,0.3369598083857031,0.001996550460145627,0.0019108149174545087
BGO,5.218140125,60.29339981,6,0.22592378165710716,0.0,0.00037314651362349625
BGR,-68.8281021118,44.8073997498,17,0.3034243695415992,0.013475849778662221,0.0030850008404944163
BHM,-86.75350189,33.56290054,1,0.23891981411591534,0.0,0.00038376600739304723
BHX,-1.74802994728,52.4538993835,4,0.2962111803948738,0.00012718668309176205,0.0007049528727998841
BIM,-79.2647018433,25.6998996735,41,0.3269644233109418,0.007817823877542965,0.002866974609288645
BJX,-101.481002808,20.9934997559,69,0.32584913818310457,0.0017826604367500918,0.002352151470339481
BLA,-64.689201355,10.1070995331,14,0.29080093052464784,0.0,0.0003571868285120438
BLK,-3.02860999107,53.7717018127,2,0.2321460648295184,0.003315710314023973,0.0008707042875908709
BLM,-74.12490082,40.18690109,1,0.31303584602079787,0.0,0.00035918117184086877
BMA,17.9416999817,59.3544006348,2,0.30278321926258894,0.00013178957686860022,0.0005410630635116806
BNA,-86.6781997681,36.1245002747,36,0.3322716719212063,0.0018370040946135522,0.0020928705245845097
BNE,153.117004395,-27.3841991425,12,0.29529553532410147,7.631452427909903e-05,0.0005401498622393718
BOD,-0.715556025505,44.8283004761,2,0.22592378165710716,0.0,0.00037314651362349625
BOG,-74.1469,4.70159,195,0.37486503208899996,0.0038559320884954313,0.002507168766482215
BOI,-116.2229996,43.56439972,4,0.3037459639979231,5.7179710120603476e-05,0.0006626062548528064
BOJ,27.5151996613,42.5695991516,1,0.19964076421598081,0.0,0.0005473811862660434
BOM,72.8678970337,19.0886993408,8,0.2850167250442968,0.0,0.0003296543173321666
BON,-68.2685012817,12.1309995651,25,0.3154477897986136,0.00016889215813340117,0.0008233217162752675
BOS,-71.00520325,42.36429977,393,0.3671804190032549,0.0271971017736896,0.010123647642214762
BQH,0.0324999988079,51.3307991028,2,0.2756943886792116,8.005922963275419e-05,0.0005304563532635925
BQN,-67.1294021606,18.4948997498,35,0.2775635031787317,0.0005491541171396756,0.0015730342551448391
BRI,16.7605991364,41.1389007568,1,0.2261020252718268,0.0,0.000399355460152316
BRN,7.49714994431,46.914100647,2,0.2340419085602617,2.9018032879634015e-05,0.0006048709571763262
BRO,-97.4259033203,25.9067993164,19,0.2896253835594143,0.00034636603858137797,0.0013654984755314982
BRU,4.48443984985,50.9014015198,53,0.3653082435080184,0.0028139844969374043,0.002193565269510009
BSB,-47.9208335876,-15.8691673279,6,0.29080093052464784,0.0,0.0003571868285120438
BSL,7.52991008759,47.5895996094,1,0.23195816837882674,0.0,0.0003665646150066746
BTR,-91.14959717,30.53319931,1,0.271258227195495,0.0,0.00034391473873682547
BTV,-73.1532974243,44.4719009399,12,0.3099884445992866,0.0002553526832107361,0.001022233730651517
BUF,-78.73220062,42.94049835,24,0.3334314334287847,0.0008372020839147189,0.0016734264104385436
BUR,-118.35900116,34.2006988525,2,0.26671411543233176,7.258400283074356e-05,0.0006047426708884304
