,long,lat,degree,closeness,betweenness,pagerank
ABE,-75.4408035278,40.6520996094,4,0.32605304212168484,4.8983241754344884e-05,0.000447721789064785
ABI,-99.6819000244,32.4113006592,5,0.3145221971407073,0.00023936775751578362,0.000656933207886986
ABQ,-106.60900116,35.0401992798,8,0.3089430894308943,2.5996606209750397e-05,0.00042292448166773405
ABV,7.26316976547,9.00679016113,1,0.2974030594094628,0.0,0.00023032182201374165
ACA,-99.7539978027,16.7570991516,32,0.31847619047619047,0.00011419936492949212,0.0006300251439797242
ACC,-0.166786000133,5.60518980026,29,0.3088289619504987,6.907897728038095e-05,0.0005231707328524051
ACK,-70.06020355,41.25310135,2,0.31835491241431835,0.0,0.00024070039210160872
ACT,-97.2304992676,31.6112995148,3,0.2555012224938875,7.055684447377833e-06,0.0003657510367691493
ACY,-74.5772018433,39.4575996399,15,0.32579890880748247,0.0024504622122643134,0.000700573691795256
ADD,38.7993011475,8.97789001465,38,0.3221579961464355,9.977989086133066e-05,0.0005313870225876114
ADJ,35.9916000366,31.972700119,1,0.2991055456171735,0.0,0.00022326012321555403
ADS,-96.8364028931,32.9686012268,5,0.3188405797101449,0.00025637542100458047,0.0006512321368201205
ADW,-76.8669967651,38.810798645,1,0.2652284263959391,0.0,0.0002288885440114854
AEX,-92.5497970581,31.3274002075,119,0.30803242446573326,0.0008165784260988152,0.001684526167468579
AEY,-18.0727005005,65.6600036621,2,0.28271897193101114,0.0,0.0002317111955078894
AFW,-97.3188018799,32.9875984192,8,0.3107806691449814,0.00029421508716381156,0.0008900901332206224
AGP,-4.49911022186,36.6749000549,5,0.3038894947291894,2.6454251273063233e-05,0.0003291705377572146
AGS,-81.9645004272,33.3698997498,11,0.32378001549186675,8.342378886773422e-05,0.0005508541980147467
AGT,-54.842682,-25.454516,30,0.2926146307315366,0.0,0.00023402749612672297
AGU,-102.318000793,21.7056007385,82,0.3132259273136006,0.0019981037911582776,0.00105539916451449
